"Station Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,Banqiao,Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng
2015/1/1,"5,051 ","9,286 ","16,721 ","50,540 ","11,286 ","7,811 ","6,858 ","3,248 ","1,952 ","7,981 ","1,590 ","3,576 ","19,293 ","5,401 ","12,739 ","4,763 ","5,249 ","3,409 ","6,153 ","3,738 ","5,147 ","6,192 ","1,261 ","16,943 ","2,152 ","12,523 ","9,357 ","11,161 ","13,058 ","12,470 ","6,945 ","24,580 ","16,784 ","19,491 ","21,347 ","2,943 ","27,774 ","19,211 ","18,469 ","16,888 ","12,060 ","203,030 ","34,749 ","18,504 ","15,407 ","31,945 ","51,801 ","33,800 ","18,394 ","7,630 ","22,390 ","5,152 ","5,017 ","15,144 ","14,116 ","2,824 ","1,883 ","9,808 ","8,296 ","6,730 ","59,920 ","13,984 ","5,746 ","15,891 ","9,877 ","24,628 ","46,584 ","28,009 ","17,473 ","30,936 ","87,943 ","11,894 ","22,727 ","34,544 ","22,629 ","57,460 ","11,816 ","16,446 ","8,675 ","9,372 ","9,667 ","31,330 ","10,741 ","7,232 ","3,824 ","17,397 ","9,794 ","11,917 ","22,910 ","7,674 ","9,025 ","4,135 ","1,814 ","2,977 ","5,868 ","7,970 ","7,633 ","11,209 ","18,929 ","22,245 ","8,572 ","9,546 ","9,716 ","8,465 ","9,352 ","6,826 ","6,395 "
2015/1/2,"4,783 ","9,742 ","18,474 ","55,266 ","12,264 ","8,764 ","7,682 ","3,407 ","2,066 ","8,963 ","1,870 ","4,083 ","24,767 ","5,753 ","11,948 ","5,284 ","5,586 ","3,565 ","7,042 ","4,578 ","5,152 ","6,200 ","1,162 ","15,627 ","2,102 ","13,206 ","8,988 ","11,304 ","13,344 ","12,504 ","7,097 ","25,465 ","17,732 ","21,891 ","20,730 ","3,356 ","29,461 ","20,402 ","19,147 ","17,496 ","15,743 ","179,177 ","36,707 ","20,779 ","16,121 ","26,577 ","50,889 ","35,557 ","19,992 ","8,866 ","25,338 ","5,251 ","5,084 ","16,184 ","16,036 ","2,868 ","2,286 ","9,871 ","8,751 ","6,700 ","61,998 ","13,908 ","5,996 ","15,822 ","11,448 ","25,608 ","43,967 ","28,127 ","18,558 ","28,908 ","86,030 ","12,129 ","25,401 ","39,132 ","25,264 ","57,989 ","12,605 ","17,162 ","9,336 ","9,457 ","10,268 ","29,646 ","11,925 ","8,449 ","4,104 ","18,329 ","10,593 ","12,449 ","23,615 ","7,664 ","9,782 ","4,129 ","1,786 ","2,908 ","6,248 ","8,164 ","8,204 ","11,330 ","18,358 ","22,865 ","9,065 ","9,766 ","10,137 ","8,625 ","9,676 ","6,513 ","6,308 "
2015/1/3,"4,373 ","10,106 ","18,397 ","51,824 ","12,941 ","8,648 ","7,704 ","3,273 ","2,515 ","9,112 ","1,907 ","3,613 ","20,881 ","6,101 ","11,871 ","5,946 ","5,981 ","3,770 ","7,047 ","4,946 ","5,386 ","6,528 ","1,184 ","17,283 ","2,483 ","13,506 ","9,599 ","11,951 ","14,276 ","13,467 ","7,773 ","27,975 ","18,027 ","23,283 ","22,359 ","3,816 ","29,864 ","21,298 ","19,503 ","18,199 ","12,065 ","164,355 ","35,376 ","19,429 ","16,332 ","27,995 ","45,022 ","31,539 ","20,664 ","8,752 ","24,292 ","5,613 ","4,996 ","16,216 ","14,046 ","3,113 ","1,913 ","8,997 ","8,663 ","6,420 ","58,902 ","13,987 ","5,931 ","16,671 ","11,292 ","26,198 ","41,815 ","29,629 ","19,089 ","28,461 ","84,224 ","13,175 ","26,234 ","36,547 ","24,146 ","53,847 ","13,797 ","16,260 ","9,443 ","9,334 ","10,255 ","26,544 ","12,057 ","11,143 ","3,736 ","18,500 ","13,757 ","12,592 ","22,408 ","8,115 ","9,883 ","4,036 ","1,787 ","3,140 ","6,378 ","8,402 ","7,906 ","11,007 ","18,274 ","23,076 ","9,137 ","10,200 ","10,335 ","9,126 ","10,159 ","6,672 ","6,617 "
2015/1/4,"4,792 ","8,906 ","15,448 ","40,817 ","11,497 ","8,612 ","7,036 ","3,276 ","2,527 ","9,464 ","1,509 ","2,997 ","13,051 ","6,172 ","12,297 ","5,559 ","5,574 ","3,783 ","6,582 ","4,684 ","4,853 ","5,954 ","1,110 ","14,788 ","2,168 ","12,018 ","8,974 ","11,286 ","14,318 ","14,199 ","7,454 ","28,278 ","16,516 ","22,674 ","19,258 ","3,506 ","27,730 ","19,954 ","18,000 ","16,212 ","9,968 ","152,177 ","29,812 ","14,560 ","15,942 ","25,473 ","35,074 ","25,725 ","22,976 ","7,837 ","22,302 ","5,231 ","4,446 ","15,682 ","10,234 ","2,785 ","1,776 ","8,923 ","7,992 ","5,808 ","51,931 ","12,555 ","5,460 ","15,201 ","9,745 ","22,194 ","36,761 ","27,548 ","18,108 ","24,024 ","63,951 ","13,057 ","23,462 ","29,026 ","17,997 ","43,594 ","13,518 ","13,999 ","9,612 ","8,669 ","9,084 ","21,732 ","10,198 ","10,106 ","3,468 ","14,583 ","9,572 ","11,027 ","15,142 ","8,712 ","8,613 ","4,427 ","1,845 ","2,834 ","5,869 ","6,759 ","7,014 ","10,159 ","17,037 ","19,497 ","7,777 ","8,960 ","9,667 ","8,083 ","9,280 ","6,293 ","6,131 "
2015/1/5,"5,462 ","15,527 ","31,777 ","43,265 ","22,511 ","14,910 ","11,304 ","3,553 ","2,943 ","15,804 ","1,955 ","4,735 ","5,858 ","10,380 ","8,859 ","17,235 ","14,348 ","5,366 ","7,436 ","2,941 ","7,871 ","8,233 ","2,671 ","27,430 ","1,983 ","10,198 ","11,698 ","14,726 ","19,680 ","15,868 ","8,127 ","25,936 ","17,228 ","31,924 ","24,920 ","8,082 ","34,809 ","24,987 ","24,808 ","19,944 ","25,047 ","126,789 ","30,733 ","23,258 ","24,213 ","24,170 ","33,805 ","28,735 ","22,218 ","12,666 ","32,203 ","7,390 ","7,592 ","19,037 ","5,885 ","3,376 ","3,021 ","14,211 ","9,981 ","7,571 ","38,269 ","15,062 ","6,614 ","19,901 ","17,448 ","25,266 ","34,001 ","38,908 ","24,012 ","27,169 ","56,263 ","21,454 ","28,532 ","36,705 ","21,604 ","51,619 ","19,244 ","17,833 ","16,105 ","10,344 ","8,492 ","22,476 ","14,705 ","5,819 ","4,945 ","35,233 ","16,982 ","16,680 ","16,065 ","13,770 ","10,516 ","4,255 ","3,930 ","3,741 ","8,032 ","8,068 ","10,847 ","15,880 ","27,097 ","20,961 ","10,349 ","11,533 ","11,514 ","10,775 ","11,076 ","7,894 ","7,044 "
2015/1/6,"4,940 ","15,852 ","32,909 ","44,257 ","23,173 ","15,058 ","11,512 ","3,693 ","3,044 ","16,229 ","2,002 ","4,641 ","7,040 ","10,425 ","8,920 ","17,790 ","14,529 ","5,365 ","7,553 ","3,041 ","7,927 ","8,523 ","2,824 ","28,518 ","2,110 ","10,068 ","11,910 ","14,859 ","20,050 ","15,540 ","8,433 ","24,721 ","17,733 ","32,707 ","26,193 ","8,072 ","35,221 ","25,639 ","25,280 ","20,463 ","25,869 ","123,954 ","32,151 ","23,431 ","24,826 ","25,437 ","34,504 ","29,246 ","23,496 ","13,151 ","32,105 ","7,427 ","7,385 ","19,668 ","6,196 ","3,687 ","3,149 ","13,946 ","10,294 ","7,595 ","35,667 ","15,232 ","6,508 ","20,123 ","17,912 ","26,019 ","34,432 ","39,106 ","24,462 ","26,238 ","57,606 ","22,627 ","28,828 ","37,422 ","22,561 ","51,847 ","20,648 ","17,967 ","16,118 ","10,412 ","8,547 ","22,682 ","15,521 ","5,827 ","4,953 ","35,949 ","17,634 ","17,456 ","16,499 ","13,641 ","10,924 ","4,209 ","3,997 ","3,926 ","8,389 ","8,094 ","11,209 ","15,989 ","27,847 ","21,583 ","10,656 ","11,837 ","11,758 ","11,205 ","11,021 ","7,815 ","7,162 "
2015/1/7,"4,834 ","16,401 ","34,004 ","45,348 ","23,865 ","15,350 ","11,445 ","3,742 ","3,020 ","16,158 ","1,925 ","4,635 ","5,442 ","10,550 ","9,542 ","18,120 ","14,734 ","5,371 ","7,781 ","2,803 ","8,062 ","8,620 ","2,919 ","28,475 ","2,101 ","10,062 ","11,854 ","15,052 ","20,178 ","16,051 ","8,535 ","25,562 ","18,218 ","33,408 ","26,371 ","8,309 ","35,535 ","26,030 ","25,496 ","20,364 ","25,836 ","125,121 ","32,907 ","23,346 ","24,842 ","24,597 ","34,142 ","29,588 ","24,291 ","13,077 ","32,537 ","7,357 ","7,211 ","19,619 ","6,429 ","3,548 ","3,042 ","14,124 ","10,190 ","7,393 ","34,545 ","15,440 ","6,624 ","20,355 ","17,748 ","26,147 ","35,175 ","39,380 ","24,732 ","26,250 ","58,816 ","23,871 ","29,562 ","39,340 ","23,105 ","53,069 ","20,691 ","18,211 ","16,256 ","10,606 ","8,529 ","22,817 ","15,730 ","5,827 ","5,132 ","36,536 ","18,128 ","17,815 ","16,496 ","13,424 ","10,832 ","4,298 ","4,054 ","3,948 ","8,568 ","8,190 ","11,252 ","16,424 ","27,064 ","22,149 ","10,741 ","11,989 ","11,881 ","11,258 ","11,142 ","7,812 ","7,297 "
2015/1/8,"4,904 ","16,216 ","34,280 ","46,342 ","23,692 ","15,551 ","11,536 ","3,689 ","2,966 ","16,068 ","1,962 ","4,597 ","5,952 ","10,553 ","9,802 ","18,366 ","14,920 ","5,514 ","7,840 ","2,860 ","8,170 ","8,502 ","2,931 ","28,720 ","2,234 ","9,900 ","11,890 ","15,135 ","20,587 ","16,173 ","8,610 ","25,606 ","18,769 ","33,277 ","26,679 ","8,170 ","35,415 ","26,256 ","25,324 ","20,511 ","26,193 ","128,770 ","33,608 ","23,561 ","25,091 ","24,766 ","33,918 ","29,934 ","23,605 ","12,964 ","32,886 ","7,432 ","7,469 ","19,663 ","6,736 ","3,406 ","3,185 ","14,391 ","10,341 ","7,447 ","35,125 ","15,533 ","6,523 ","20,289 ","17,972 ","26,533 ","35,508 ","39,484 ","25,053 ","26,719 ","59,889 ","23,972 ","30,039 ","39,614 ","23,349 ","55,100 ","20,732 ","18,127 ","16,115 ","10,913 ","8,554 ","23,579 ","15,895 ","5,591 ","5,090 ","37,718 ","18,510 ","17,917 ","16,653 ","13,592 ","11,123 ","4,771 ","4,248 ","3,961 ","8,646 ","8,072 ","11,381 ","16,427 ","27,805 ","22,097 ","10,762 ","12,087 ","11,860 ","11,337 ","11,216 ","7,977 ","7,382 "
2015/1/9,"5,196 ","17,259 ","36,147 ","52,914 ","24,953 ","16,112 ","12,077 ","3,848 ","3,250 ","16,569 ","2,031 ","4,703 ","6,825 ","10,519 ","12,036 ","18,607 ","15,497 ","5,830 ","8,271 ","3,155 ","8,386 ","9,039 ","3,151 ","30,889 ","2,298 ","10,875 ","12,448 ","16,073 ","21,606 ","17,625 ","9,079 ","28,417 ","20,708 ","35,555 ","29,141 ","8,523 ","37,629 ","27,747 ","26,749 ","21,567 ","26,727 ","159,105 ","38,393 ","25,293 ","26,434 ","26,753 ","38,550 ","32,237 ","25,463 ","13,187 ","33,942 ","7,699 ","7,823 ","20,235 ","7,517 ","3,816 ","3,268 ","14,164 ","10,521 ","7,968 ","37,848 ","16,294 ","7,028 ","21,344 ","18,101 ","29,198 ","39,672 ","41,433 ","26,310 ","27,244 ","71,576 ","24,465 ","32,676 ","44,390 ","25,843 ","62,025 ","21,764 ","19,065 ","16,868 ","11,618 ","9,352 ","33,570 ","17,165 ","6,558 ","5,629 ","39,411 ","19,800 ","18,834 ","18,892 ","13,798 ","11,863 ","4,794 ","4,139 ","4,330 ","8,660 ","8,878 ","11,770 ","17,624 ","29,433 ","24,691 ","11,376 ","12,766 ","12,593 ","11,495 ","11,661 ","8,516 ","7,757 "
2015/1/10,"4,021 ","11,875 ","23,510 ","54,736 ","15,266 ","11,472 ","8,863 ","3,534 ","3,021 ","10,456 ","1,677 ","3,382 ","8,957 ","7,803 ","14,334 ","7,178 ","7,782 ","4,402 ","7,822 ","3,615 ","5,863 ","7,470 ","1,224 ","21,187 ","2,392 ","11,579 ","10,262 ","12,969 ","17,339 ","17,627 ","8,689 ","32,342 ","21,181 ","29,983 ","25,105 ","4,625 ","32,673 ","22,997 ","21,900 ","19,167 ","15,661 ","161,106 ","39,409 ","21,679 ","19,173 ","25,087 ","39,857 ","30,465 ","22,411 ","9,641 ","27,036 ","6,062 ","5,643 ","16,804 ","10,675 ","3,353 ","2,021 ","9,006 ","9,485 ","6,394 ","38,360 ","14,232 ","6,322 ","17,440 ","13,000 ","28,992 ","39,057 ","33,931 ","22,250 ","27,501 ","78,746 ","17,086 ","33,056 ","41,300 ","24,260 ","56,540 ","16,795 ","16,987 ","10,480 ","9,021 ","8,268 ","37,099 ","13,144 ","9,114 ","4,239 ","22,253 ","17,230 ","13,792 ","19,829 ","10,018 ","11,330 ","5,632 ","2,411 ","3,458 ","7,212 ","8,771 ","9,073 ","13,056 ","20,990 ","23,853 ","9,639 ","10,753 ","11,568 ","9,630 ","10,777 ","7,467 ","6,952 "
